Sprint,Module,Priority,Status,Root_Cause_Analysis
Sprint 1,Authentication,Critical,Resolved,Environment Issue
Sprint 1,Authentication,Critical,Closed,Code Issue
Sprint 1,Authentication,Critical,Closed,Requirement Gap
Sprint 1,Authentication,High,Resolved,Environment Issue
Sprint 1,Authentication,Medium,Open,Environment Issue
Sprint 1,Billing,High,Closed,Code Issue
Sprint 1,Billing,Critical,Resolved,Environment Issue
Sprint 1,Billing,Low,In Progress,Code Issue
Sprint 1,Billing,High,Open,Requirement Gap
Sprint 1,Billing,Medium,Open,Code Issue
Sprint 1,Billing,Critical,In Progress,Requirement Gap
Sprint 1,Payments,Critical,Resolved,Requirement Gap
Sprint 1,Payments,Low,Open,Test Coverage Miss
Sprint 1,Payments,Medium,In Progress,Test Coverage Miss
Sprint 1,Payments,Critical,Resolved,Test Coverage Miss
Sprint 1,Payments,Low,Closed,Environment Issue
Sprint 1,Payments,Medium,In Progress,Code Issue
Sprint 1,Notifications,High,Resolved,Code Issue
Sprint 1,Notifications,Medium,Closed,Test Coverage Miss
Sprint 1,Notifications,Low,Open,Code Issue
Sprint 1,Notifications,High,In Progress,Code Issue
Sprint 1,Reports,Medium,In Progress,Requirement Gap
Sprint 1,Reports,Critical,Closed,Environment Issue
Sprint 1,Reports,Medium,In Progress,Environment Issue
Sprint 1,Reports,High,Open,Test Coverage Miss
Sprint 1,Reports,Critical,Resolved,Environment Issue
Sprint 1,Reports,Critical,Open,Test Coverage Miss
Sprint 1,Reports,High,Open,Test Coverage Miss
Sprint 1,Reports,Critical,In Progress,Test Coverage Miss
Sprint 1,Reports,Critical,Open,Environment Issue
Sprint 1,Reports,High,Closed,Test Coverage Miss
Sprint 1,Dashboard,Critical,Closed,Environment Issue
Sprint 1,Dashboard,Medium,Closed,Code Issue
Sprint 1,Dashboard,Medium,Closed,Test Coverage Miss
Sprint 1,Dashboard,High,In Progress,Requirement Gap
Sprint 1,Dashboard,High,Open,Code Issue
Sprint 1,Dashboard,High,Closed,Environment Issue
Sprint 1,Dashboard,Critical,Closed,Test Coverage Miss
Sprint 1,Dashboard,Low,Resolved,Environment Issue
Sprint 1,Dashboard,Low,Open,Code Issue
Sprint 1,Dashboard,Low,Closed,Environment Issue
Sprint 2,Authentication,Low,Open,Code Issue
Sprint 2,Authentication,Medium,Open,Environment Issue
Sprint 2,Billing,High,Open,Code Issue
Sprint 2,Billing,Medium,Closed,Environment Issue
Sprint 2,Billing,Medium,Resolved,Requirement Gap
Sprint 2,Billing,High,Closed,Test Coverage Miss
Sprint 2,Payments,Low,Resolved,Code Issue
Sprint 2,Payments,Critical,Closed,Code Issue
Sprint 2,Payments,Medium,Resolved,Test Coverage Miss
Sprint 2,Payments,Critical,Closed,Environment Issue
Sprint 2,Notifications,Critical,Closed,Environment Issue
Sprint 2,Notifications,Medium,Closed,Code Issue
