Sprint,Module,Developer,QA,Priority,Status,Root_Cause_Analysis,Defect_Age_Days,Reopened,Fix_Time_Days
Sprint 1,Authentication,Eve,QA5,High,Open,Requirement Gap,9,False,5
Sprint 1,Authentication,Eve,QA5,Critical,Resolved,Code Issue,19,False,2
Sprint 1,Authentication,Eve,QA5,Medium,In Progress,Test Coverage Miss,23,True,6
Sprint 1,Authentication,Eve,QA5,Medium,Open,Requirement Gap,3,False,3
Sprint 1,Authentication,Eve,QA5,Critical,Closed,Requirement Gap,17,False,7
Sprint 1,Authentication,Eve,QA5,High,In Progress,Code Issue,20,True,5
Sprint 1,Authentication,Eve,QA5,Low,Open,Requirement Gap,8,False,4
Sprint 1,Authentication,Eve,QA5,Medium,Resolved,Environment Issue,24,True,2
Sprint 1,Authentication,Eve,QA5,Low,Open,Test Coverage Miss,9,True,8
Sprint 1,Authentication,Eve,QA5,High,Open,Environment Issue,13,False,7
Sprint 1,Billing,Eve,QA3,Low,In Progress,Code Issue,14,False,2
Sprint 1,Billing,Eve,QA3,Low,Resolved,Test Coverage Miss,25,True,8
Sprint 1,Billing,Eve,QA3,High,Closed,Environment Issue,10,False,7
Sprint 1,Billing,Eve,QA3,Critical,Resolved,Code Issue,6,False,9
Sprint 1,Billing,Eve,QA3,Medium,In Progress,Environment Issue,16,False,8
Sprint 1,Billing,Eve,QA3,High,Closed,Code Issue,1,False,6
Sprint 1,Billing,Eve,QA3,High,Open,Environment Issue,22,True,1
Sprint 1,Payments,Alice,QA4,Low,Closed,Requirement Gap,5,False,7
Sprint 1,Payments,Alice,QA4,High,Closed,Requirement Gap,2,False,6
Sprint 1,Payments,Alice,QA4,Critical,Open,Environment Issue,27,False,6
Sprint 1,Payments,Alice,QA4,Low,Closed,Requirement Gap,3,True,1
Sprint 1,Payments,Alice,QA4,High,Closed,Environment Issue,16,True,7
Sprint 1,Payments,Alice,QA4,Medium,Closed,Environment Issue,7,True,7
Sprint 1,Payments,Alice,QA4,High,In Progress,Requirement Gap,10,False,5
Sprint 1,Payments,Alice,QA4,Critical,Open,Environment Issue,10,False,9
Sprint 1,Payments,Alice,QA4,Medium,In Progress,Test Coverage Miss,11,True,6
Sprint 1,Notifications,David,QA2,High,Resolved,Requirement Gap,22,True,1
Sprint 1,Notifications,David,QA2,Critical,Open,Requirement Gap,4,False,2
Sprint 1,Notifications,David,QA2,Low,Resolved,Requirement Gap,15,False,3
Sprint 1,Notifications,David,QA2,High,Resolved,Code Issue,19,False,4
Sprint 1,Reports,Bob,QA5,Medium,Resolved,Requirement Gap,10,False,9
Sprint 1,Reports,Bob,QA5,Medium,Resolved,Test Coverage Miss,29,False,6
Sprint 1,Reports,Bob,QA5,Medium,In Progress,Requirement Gap,6,False,7
Sprint 1,Dashboard,Eve,QA4,Low,Open,Test Coverage Miss,6,False,3
Sprint 1,Dashboard,Eve,QA4,Critical,Resolved,Code Issue,20,True,8
Sprint 1,Dashboard,Eve,QA4,Critical,Resolved,Test Coverage Miss,8,False,7
Sprint 1,Dashboard,Eve,QA4,High,In Progress,Test Coverage Miss,6,False,7
Sprint 1,Dashboard,Eve,QA4,Low,Open,Code Issue,2,True,1
Sprint 1,Dashboard,Eve,QA4,Low,Closed,Code Issue,19,True,10
Sprint 2,Authentication,Eve,QA5,Low,Resolved,Test Coverage Miss,19,False,3
Sprint 2,Authentication,Eve,QA5,Medium,Resolved,Environment Issue,8,False,8
Sprint 2,Authentication,Eve,QA5,Critical,Open,Code Issue,22,False,8
Sprint 2,Authentication,Eve,QA5,High,Open,Code Issue,15,False,1
Sprint 2,Authentication,Eve,QA5,Low,Open,Environment Issue,11,True,7
Sprint 2,Billing,Bob,QA4,Low,Closed,Environment Issue,29,False,1
Sprint 2,Billing,Bob,QA4,Low,Closed,Environment Issue,8,True,8
Sprint 2,Billing,Bob,QA4,High,In Progress,Environment Issue,9,True,4
Sprint 2,Billing,Bob,QA4,High,Resolved,Test Coverage Miss,5,True,7
Sprint 2,Billing,Bob,QA4,Low,Resolved,Code Issue,28,True,10
Sprint 2,Payments,Frank,QA3,High,In Progress,Requirement Gap,5,False,4
Sprint 2,Payments,Frank,QA3,Critical,In Progress,Test Coverage Miss,28,False,5
Sprint 2,Payments,Frank,QA3,Critical,Closed,Code Issue,9,False,4
Sprint 2,Payments,Frank,QA3,Medium,Resolved,Test Coverage Miss,21,True,9
Sprint 2,Payments,Frank,QA3,High,Resolved,Code Issue,30,False,6
Sprint 2,Payments,Frank,QA3,Medium,In Progress,Test Coverage Miss,11,False,4
Sprint 2,Payments,Frank,QA3,Low,Open,Test Coverage Miss,3,False,8
Sprint 2,Notifications,Charlie,QA2,Medium,Closed,Environment Issue,9,False,6
Sprint 2,Notifications,Charlie,QA2,Low,In Progress,Requirement Gap,5,False,1
Sprint 2,Notifications,Charlie,QA2,High,Resolved,Environment Issue,18,False,7
Sprint 2,Notifications,Charlie,QA2,High,Closed,Code Issue,9,True,9
Sprint 2,Notifications,Charlie,QA2,Low,Closed,Environment Issue,29,True,1
Sprint 2,Notifications,Charlie,QA2,Critical,Resolved,Requirement Gap,28,False,3
Sprint 2,Notifications,Charlie,QA2,Medium,Resolved,Environment Issue,6,False,5
Sprint 2,Notifications,Charlie,QA2,Low,Resolved,Code Issue,13,True,6
Sprint 2,Reports,Bob,QA5,Critical,Closed,Test Coverage Miss,5,True,7
Sprint 2,Reports,Bob,QA5,High,Closed,Environment Issue,13,True,4
Sprint 2,Reports,Bob,QA5,Medium,Open,Test Coverage Miss,28,True,10
Sprint 2,Reports,Bob,QA5,High,In Progress,Environment Issue,10,False,2
Sprint 2,Reports,Bob,QA5,Critical,Resolved,Code Issue,17,False,8
Sprint 2,Reports,Bob,QA5,High,Closed,Requirement Gap,27,True,8
Sprint 2,Reports,Bob,QA5,High,Resolved,Requirement Gap,18,False,3
Sprint 2,Reports,Bob,QA5,Low,Closed,Requirement Gap,28,True,5
Sprint 2,Reports,Bob,QA5,High,In Progress,Requirement Gap,5,False,2
Sprint 2,Reports,Bob,QA5,Low,Closed,Test Coverage Miss,5,False,5
Sprint 2,Dashboard,Bob,QA2,High,Closed,Test Coverage Miss,7,False,10
Sprint 2,Dashboard,Bob,QA2,Low,Open,Environment Issue,2,False,5
Sprint 2,Dashboard,Bob,QA2,Medium,Open,Code Issue,13,True,5
Sprint 2,Dashboard,Bob,QA2,Medium,Open,Test Coverage Miss,25,True,8
Sprint 2,Dashboard,Bob,QA2,High,Closed,Requirement Gap,2,True,6
Sprint 2,Dashboard,Bob,QA2,Medium,Resolved,Test Coverage Miss,17,True,3
Sprint 2,Dashboard,Bob,QA2,High,Open,Test Coverage Miss,20,False,5
Sprint 2,Dashboard,Bob,QA2,High,Resolved,Test Coverage Miss,9,False,6
Sprint 2,Dashboard,Bob,QA2,Low,Resolved,Code Issue,13,False,8
Sprint 3,Authentication,Frank,QA2,Critical,Open,Test Coverage Miss,15,True,9
Sprint 3,Authentication,Frank,QA2,Medium,Resolved,Environment Issue,17,True,4
Sprint 3,Billing,Bob,QA5,Critical,Open,Code Issue,4,False,7
Sprint 3,Billing,Bob,QA5,High,Closed,Environment Issue,3,True,1
Sprint 3,Billing,Bob,QA5,Medium,Closed,Code Issue,11,True,10
Sprint 3,Billing,Bob,QA5,High,Open,Requirement Gap,24,False,7
Sprint 3,Billing,Bob,QA5,Medium,Closed,Test Coverage Miss,29,False,2
Sprint 3,Billing,Bob,QA5,Medium,Resolved,Environment Issue,18,False,10
Sprint 3,Billing,Bob,QA5,Medium,Open,Code Issue,16,True,4
Sprint 3,Billing,Bob,QA5,High,In Progress,Code Issue,30,False,9
Sprint 3,Billing,Bob,QA5,High,In Progress,Requirement Gap,24,True,4
Sprint 3,Payments,Eve,QA2,High,Resolved,Environment Issue,15,True,1
Sprint 3,Payments,Eve,QA2,Low,Open,Code Issue,20,True,8
Sprint 3,Payments,Eve,QA2,Critical,Resolved,Requirement Gap,2,True,5
Sprint 3,Payments,Eve,QA2,Medium,Closed,Environment Issue,12,False,2
