Sprint,Module,Developer,BA,QA,Actual_Story_Points,Completed_Story_Points,Velocity
Sprint 1,Authentication,Frank,BA2,QA2,48,43,0.8958333333333334
Sprint 1,Billing,Bob,BA3,QA3,38,15,0.39473684210526316
Sprint 1,Payments,Charlie,BA3,QA5,55,48,0.8727272727272727
Sprint 1,Notifications,Eve,BA3,QA3,44,40,0.9090909090909091
Sprint 1,Reports,Charlie,BA2,QA5,30,17,0.5666666666666667
Sprint 1,Dashboard,Charlie,BA3,QA4,49,47,0.9591836734693877
Sprint 2,Authentication,Frank,BA3,QA5,37,13,0.35135135135135137
Sprint 2,Billing,Charlie,BA1,QA4,33,14,0.42424242424242425
Sprint 2,Payments,Alice,BA1,QA4,23,18,0.782608695652174
Sprint 2,Notifications,David,BA1,QA1,23,19,0.8260869565217391
Sprint 2,Reports,Frank,BA1,QA5,25,10,0.4
Sprint 2,Dashboard,Alice,BA2,QA2,32,16,0.5
Sprint 3,Authentication,Eve,BA2,QA1,51,50,0.9803921568627451
Sprint 3,Billing,Frank,BA3,QA2,20,18,0.9
Sprint 3,Payments,Eve,BA1,QA3,20,10,0.5
Sprint 3,Notifications,Bob,BA1,QA3,41,39,0.9512195121951219
Sprint 3,Reports,Eve,BA2,QA2,40,26,0.65
Sprint 3,Dashboard,Charlie,BA1,QA2,60,42,0.7
Sprint 4,Authentication,Eve,BA2,QA1,27,23,0.8518518518518519
Sprint 4,Billing,Bob,BA2,QA3,51,45,0.8823529411764706
Sprint 4,Payments,Eve,BA1,QA2,19,10,0.5263157894736842
Sprint 4,Notifications,Charlie,BA3,QA3,45,17,0.37777777777777777
Sprint 4,Reports,Frank,BA2,QA4,32,18,0.5625
Sprint 4,Dashboard,Alice,BA2,QA2,28,22,0.7857142857142857
Sprint 5,Authentication,Charlie,BA3,QA3,54,37,0.6851851851851852
Sprint 5,Billing,Bob,BA3,QA1,17,11,0.6470588235294118
Sprint 5,Payments,Bob,BA2,QA3,45,31,0.6888888888888889
Sprint 5,Notifications,Bob,BA1,QA3,38,11,0.2894736842105263
Sprint 5,Reports,Eve,BA2,QA3,37,15,0.40540540540540543
Sprint 5,Dashboard,Frank,BA2,QA5,33,33,1.0
Sprint 6,Authentication,Frank,BA1,QA2,46,14,0.30434782608695654
Sprint 6,Billing,Charlie,BA2,QA3,40,39,0.975
Sprint 6,Payments,Frank,BA2,QA1,47,45,0.9574468085106383
Sprint 6,Notifications,Bob,BA2,QA4,37,26,0.7027027027027027
Sprint 6,Reports,Eve,BA1,QA3,28,19,0.6785714285714286
Sprint 6,Dashboard,Eve,BA1,QA5,34,31,0.9117647058823529
Sprint 7,Authentication,Charlie,BA3,QA5,20,16,0.8
Sprint 7,Billing,Charlie,BA2,QA3,18,12,0.6666666666666666
Sprint 7,Payments,Bob,BA3,QA4,21,18,0.8571428571428571
Sprint 7,Notifications,Eve,BA3,QA1,17,12,0.7058823529411765
Sprint 7,Reports,Frank,BA1,QA2,36,21,0.5833333333333334
Sprint 7,Dashboard,Alice,BA1,QA4,47,40,0.851063829787234
Sprint 8,Authentication,Frank,BA2,QA5,21,17,0.8095238095238095
Sprint 8,Billing,Frank,BA1,QA3,23,10,0.43478260869565216
Sprint 8,Payments,Alice,BA2,QA3,41,20,0.4878048780487805
Sprint 8,Notifications,Charlie,BA2,QA1,46,41,0.8913043478260869
Sprint 8,Reports,Alice,BA2,QA2,18,13,0.7222222222222222
Sprint 8,Dashboard,Charlie,BA1,QA5,29,20,0.6896551724137931
Sprint 9,Authentication,Alice,BA1,QA2,33,22,0.6666666666666666
Sprint 9,Billing,Eve,BA3,QA4,33,11,0.3333333333333333
Sprint 9,Payments,Charlie,BA1,QA4,33,11,0.3333333333333333
Sprint 9,Notifications,David,BA1,QA5,38,27,0.7105263157894737
Sprint 9,Reports,Alice,BA3,QA2,16,14,0.875
Sprint 9,Dashboard,Eve,BA2,QA1,56,12,0.21428571428571427
Sprint 10,Authentication,Bob,BA1,QA4,35,14,0.4
Sprint 10,Billing,Eve,BA2,QA1,46,25,0.5434782608695652
Sprint 10,Payments,Alice,BA3,QA4,51,39,0.7647058823529411
Sprint 10,Notifications,Bob,BA3,QA4,43,27,0.627906976744186
Sprint 10,Reports,David,BA1,QA1,49,12,0.24489795918367346
Sprint 10,Dashboard,Bob,BA2,QA1,33,28,0.8484848484848485
Sprint 11,Authentication,Charlie,BA1,QA3,43,43,1.0
Sprint 11,Billing,David,BA3,QA4,44,31,0.7045454545454546
Sprint 11,Payments,Bob,BA2,QA1,38,36,0.9473684210526315
Sprint 11,Notifications,David,BA1,QA3,20,10,0.5
Sprint 11,Reports,Frank,BA3,QA2,46,25,0.5434782608695652
Sprint 11,Dashboard,Bob,BA2,QA4,56,43,0.7678571428571429
Sprint 12,Authentication,Alice,BA3,QA1,31,26,0.8387096774193549
Sprint 12,Billing,Alice,BA1,QA1,27,22,0.8148148148148148
Sprint 12,Payments,David,BA1,QA2,17,11,0.6470588235294118
Sprint 12,Notifications,David,BA2,QA4,31,15,0.4838709677419355
Sprint 12,Reports,Alice,BA3,QA3,26,15,0.5769230769230769
Sprint 12,Dashboard,Frank,BA1,QA2,31,19,0.6129032258064516
Sprint 13,Authentication,Eve,BA3,QA4,21,14,0.6666666666666666
Sprint 13,Billing,Charlie,BA3,QA1,20,13,0.65
Sprint 13,Payments,David,BA3,QA4,46,24,0.5217391304347826
Sprint 13,Notifications,Charlie,BA2,QA5,60,20,0.3333333333333333
Sprint 13,Reports,Alice,BA2,QA1,52,51,0.9807692307692307
Sprint 13,Dashboard,Charlie,BA1,QA3,49,20,0.40816326530612246
Sprint 14,Authentication,Charlie,BA2,QA5,46,21,0.45652173913043476
Sprint 14,Billing,David,BA1,QA4,38,32,0.8421052631578947
Sprint 14,Payments,Bob,BA2,QA3,50,21,0.42
Sprint 14,Notifications,Bob,BA2,QA4,43,31,0.7209302325581395
Sprint 14,Reports,David,BA2,QA2,50,17,0.34
Sprint 14,Dashboard,Eve,BA2,QA4,34,16,0.47058823529411764
Sprint 15,Authentication,Eve,BA1,QA1,28,15,0.5357142857142857
Sprint 15,Billing,David,BA2,QA1,41,38,0.926829268292683
Sprint 15,Payments,David,BA2,QA1,46,27,0.5869565217391305
Sprint 15,Notifications,Charlie,BA3,QA1,29,11,0.3793103448275862
Sprint 15,Reports,Frank,BA1,QA2,45,31,0.6888888888888889
Sprint 15,Dashboard,Bob,BA1,QA3,34,27,0.7941176470588235
Sprint 16,Authentication,David,BA2,QA3,16,10,0.625
Sprint 16,Billing,Eve,BA3,QA3,50,49,0.98
Sprint 16,Payments,Charlie,BA1,QA2,24,10,0.4166666666666667
Sprint 16,Notifications,Bob,BA1,QA5,40,38,0.95
Sprint 16,Reports,Frank,BA2,QA1,33,11,0.3333333333333333
